
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1982"	"0"	"0"	"0.7777"	"2.2983"	"4.6267"	"4.6288"	"4.7464"	"4.7279"	"7.1991"	"6.9746"	"4.1192"	"0.9432"
"1983"	"0"	"0"	"0.022"	"1.2902"	"5.8768"	"5.9909"	"6.2219"	"7.6758"	"6.8275"	"6.467"	"2.0802"	"2.3612"
"1984"	"0.4058"	"1.3227"	"2.7647"	"3.1145"	"3.5322"	"4.2019"	"8.7236"	"3.3969"	"9.7155"	"7.1416"	"2.3072"	"2.5702"
"1985"	"0.9999"	"0.088"	"1.2483"	"2.6012"	"4.9548"	"4.5751"	"6.7028"	"5.5517"	"7.3389"	"5.7756"	"4.603"	"1.0957"
"1986"	"0.9999"	"1.1254"	"0.201"	"2.1162"	"4.762"	"5.1206"	"7.2671"	"5.114"	"9.407"	"6.5245"	"4.4014"	"1.9996"
"1987"	"0.1989"	"0"	"1.7026"	"3.4798"	"5.8147"	"4.6284"	"4.8485"	"5.7651"	"5.3008"	"8.5147"	"3.0092"	"3.0409"
"1988"	"0"	"0.5787"	"0.2399"	"5.388"	"6.6219"	"5.0995"	"9.1038"	"8.2097"	"10.2746"	"3.3468"	"3.2485"	"1.9705"
"1989"	"0.0587"	"0"	"1.4664"	"2.2331"	"4.6073"	"5.1218"	"8.7069"	"4.1333"	"7.9346"	"8.7016"	"2.0318"	"1.1326"
"1990"	"0.8944"	"0.1909"	"1.2691"	"2.0648"	"10.5217"	"3.8257"	"5.2709"	"4.9211"	"5.7715"	"8.5078"	"3.6024"	"1.2052"
"1991"	"0.0332"	"0.022"	"0.223"	"3.2352"	"5.8061"	"6.4711"	"6.2725"	"5.7876"	"6.3357"	"9.631"	"3.0997"	"0.2622"
"1992"	"0.0715"	"0"	"0"	"2.3094"	"6.9262"	"5.2549"	"7.6689"	"6.1472"	"6.8837"	"7.8943"	"4.1326"	"0.6529"
"1993"	"0"	"0.0147"	"1.2499"	"2.3775"	"6.3668"	"5.6184"	"6.8488"	"5.9984"	"6.654"	"9.0248"	"3.8594"	"3.2828"
"1994"	"0.3514"	"0.7603"	"1.2425"	"3.172"	"4.8799"	"3.8844"	"7.8382"	"4.9113"	"4.3718"	"9.7912"	"3.6287"	"1.0711"
"1995"	"0.9999"	"0.0954"	"1.6362"	"3.0374"	"7.1736"	"4.1309"	"6.434"	"7.1803"	"7.9726"	"9.3643"	"2.664"	"0.2476"
"1996"	"0.0293"	"0.0367"	"0.157"	"4.652"	"5.0938"	"6.5716"	"5.943"	"7.2648"	"8.3217"	"8.7872"	"2.3208"	"2.1028"
"1997"	"0.9999"	"0"	"1.8364"	"3.6288"	"4.6121"	"4.6237"	"5.7977"	"6.7377"	"6.3471"	"10.1959"	"6.0814"	"3.2548"
"1998"	"0.0293"	"0.1467"	"0.157"	"3.9717"	"5.7966"	"3.934"	"9.1944"	"8.5507"	"8.1416"	"9.3717"	"3.8921"	"2.4246"
"1999"	"0.044"	"1.1342"	"0.157"	"3.9205"	"6.779"	"4.5933"	"6.0886"	"4.8586"	"5.9654"	"9.0176"	"2.8488"	"1.0175"
"2000"	"0.0367"	"1.1239"	"0.0734"	"4.0754"	"4.8754"	"4.7781"	"6.4358"	"8.0742"	"8.9098"	"9.1749"	"2.4172"	"1.482"
"2001"	"0.3734"	"0.1174"	"1.2425"	"5.2234"	"4.8625"	"4.2396"	"7.1053"	"4.8843"	"7.9022"	"8.6069"	"3.4339"	"1.2785"
"2002"	"0.4944"	"0.1227"	"0.6444"	"1.4694"	"7.3567"	"5.5293"	"3.9318"	"5.03"	"4.7222"	"9.4179"	"3.4919"	"1.0509"
